Nombre,Tiempo de Aprendizaje,Transferencia de la formacion,Retencion de conocimiento y habilidades,Impacto del rendimiento en la organizacion,Nota de evaluacion
Flo Jahns,2 meses,Muy Alta,Muy Alta,Alta,53
Orv Deam,1 mes,Promedio,Baja,Alta,72
Demetrius Nott,2 meses,Muy baja,Muy Alta,Muy Alta,50
Cathryn Durante,2 meses,Muy baja,Alta,Alta,90
Val Lingwood,2 meses,Muy baja,Promedio,Alta,45
Carolyn Fehners,2 meses,Muy Alta,Muy baja,Muy baja,32
Jillayne Schultheiss,3 meses,Muy Alta,Promedio,Promedio,24
Dewie Burgett,1 mes,Promedio,Baja,Promedio,35
Chevy Summerskill,2 meses,Baja,Alta,Muy Alta,7
Larina Fallon,3 meses,Muy baja,Baja,Baja,63
Paulie Sidery,3 meses,Promedio,Muy Alta,Promedio,71
Blondell Hadfield,3 meses,Muy Alta,Promedio,Muy baja,73
Thaxter Solano,3 meses,Alta,Alta,Muy baja,81
Cosmo Beggs,1 mes,Alta,Baja,Muy baja,89
Aurthur Ginsie,1 mes,Promedio,Promedio,Muy baja,10
Sherrie Kermon,2 meses,Muy baja,Alta,Baja,12
Jarrod Trollope,4 meses,Baja,Baja,Baja,17
Phoebe Blachford,2 meses,Alta,Alta,Alta,73
Clio Chimienti,4 meses,Promedio,Muy Alta,Baja,69
Marta Laming,3 meses,Muy baja,Alta,Baja,48
Rebecka Skates,2 meses,Promedio,Muy Alta,Muy Alta,40
Melly Wickens,2 meses,Muy Alta,Muy Alta,Baja,31
Devondra Halsho,4 meses,Muy baja,Promedio,Baja,91
Fremont Reason,1 mes,Promedio,Alta,Baja,42
Lion Tredgold,1 mes,Alta,Muy Alta,Muy baja,37
Seana Batchley,2 meses,Promedio,Muy Alta,Muy Alta,97
Wallis Sharma,1 mes,Alta,Baja,Muy Alta,1
Robinia Pettit,3 meses,Promedio,Alta,Muy baja,66
Terri-jo McGraw,1 mes,Promedio,Baja,Baja,11
Charmian Margery,3 meses,Promedio,Muy Alta,Baja,16
Fanechka Balle,1 mes,Muy Alta,Alta,Muy baja,95
Jodie Hovy,4 meses,Muy baja,Alta,Promedio,12
Darrin Grewe,3 meses,Alta,Promedio,Alta,13
Beitris Silverthorn,2 meses,Muy Alta,Promedio,Muy baja,86
Lulita Hatherley,2 meses,Baja,Alta,Muy baja,83
Karim Pidwell,3 meses,Promedio,Baja,Muy baja,82
Hatty Tomovic,2 meses,Baja,Muy Alta,Muy Alta,6
Keane Marchand,1 mes,Alta,Baja,Alta,85
Lezlie Younglove,1 mes,Alta,Alta,Alta,22
Ernie Toft,2 meses,Promedio,Alta,Muy baja,68
Thain Le Friec,4 meses,Muy Alta,Alta,Muy baja,81
Lanna Keford,2 meses,Alta,Muy baja,Alta,64
Orland Elias,4 meses,Promedio,Promedio,Promedio,64
Mirilla Beaudry,3 meses,Muy baja,Alta,Promedio,63
Theresita Rowbury,1 mes,Alta,Baja,Muy Alta,20
Moreen Grimster,4 meses,Baja,Alta,Baja,64
Rozanna Fawlo,1 mes,Baja,Promedio,Baja,28
Devin Faunch,4 meses,Promedio,Muy Alta,Alta,7
Norbert Leroux,2 meses,Alta,Alta,Muy Alta,51
Cathi O'Drought,1 mes,Muy Alta,Muy Alta,Muy baja,22
Falito Bapty,3 meses,Baja,Promedio,Baja,89
Irita Bevis,3 meses,Muy Alta,Alta,Muy Alta,76
Patric MacIlhargy,3 meses,Muy baja,Promedio,Baja,27
Jeffrey Challinor,2 meses,Alta,Muy Alta,Baja,19
Sandra Govenlock,2 meses,Baja,Muy Alta,Alta,44
Merle Blanchette,4 meses,Baja,Baja,Promedio,7
Domini Lugg,2 meses,Alta,Promedio,Alta,6
Sunny Wragge,3 meses,Muy Alta,Alta,Alta,92
Ky Cicci,2 meses,Alta,Alta,Baja,11
Natalee Blaxter,4 meses,Alta,Muy baja,Promedio,86
Cyrus Speek,1 mes,Muy baja,Muy baja,Muy baja,69
Sydney Huckell,1 mes,Promedio,Muy Alta,Alta,32
Tasia Wilbore,2 meses,Muy Alta,Muy baja,Alta,46
Carlin Ricks,3 meses,Muy Alta,Muy Alta,Promedio,31
Erl Beckmann,4 meses,Muy baja,Muy baja,Alta,46
Owen Renny,3 meses,Promedio,Alta,Baja,22
Lorianne Nicholson,4 meses,Muy Alta,Alta,Muy baja,68
Tyson Ivantsov,1 mes,Baja,Muy baja,Muy baja,100
Ariella Clunan,2 meses,Muy baja,Alta,Promedio,28
Bartlett McGahern,4 meses,Alta,Alta,Alta,59
Hilario Carlyle,4 meses,Muy baja,Muy Alta,Alta,71
Annmaria Sparkwill,2 meses,Muy baja,Muy Alta,Baja,96
Aida MacKowle,1 mes,Muy Alta,Alta,Alta,71
Konrad Joutapaitis,2 meses,Baja,Muy Alta,Muy baja,95
Barron Millberg,3 meses,Promedio,Promedio,Alta,55
Ernie Duckels,2 meses,Promedio,Alta,Promedio,93
Archie Veronique,2 meses,Muy baja,Baja,Muy Alta,78
Katlin Brugman,3 meses,Muy baja,Alta,Promedio,88
Toma Ellicock,4 meses,Baja,Alta,Promedio,79
Zaria Ollivierre,3 meses,Promedio,Alta,Baja,39
Quinlan Smaridge,1 mes,Baja,Promedio,Promedio,98
Obidiah Fellon,4 meses,Alta,Alta,Alta,45
Claudianus Logue,3 meses,Muy baja,Promedio,Muy baja,54
Jobie Behnecke,4 meses,Promedio,Promedio,Muy Alta,25
Lavina Geleman,3 meses,Muy Alta,Baja,Baja,83
Derril Phorsby,1 mes,Muy Alta,Alta,Muy baja,47
Shanta Brame,1 mes,Promedio,Baja,Promedio,50
Hodge Jarville,2 meses,Muy baja,Promedio,Muy Alta,16
Clemente Peachey,4 meses,Promedio,Promedio,Baja,13
Innis Tunstall,4 meses,Muy Alta,Muy Alta,Baja,58
Merralee Clift,1 mes,Muy baja,Promedio,Baja,74
Abagail Walsh,2 meses,Muy Alta,Promedio,Muy baja,4
Prinz Bellee,4 meses,Alta,Muy baja,Muy baja,56
Leonidas Wetherell,4 meses,Promedio,Baja,Muy Alta,40
Vivi Chatelot,2 meses,Muy baja,Alta,Muy baja,42
Andra Redparth,2 meses,Promedio,Baja,Alta,36
Maryjo Gerson,1 mes,Muy baja,Muy baja,Alta,11
Ebonee Densey,2 meses,Muy Alta,Alta,Alta,92
Zenia Mussared,4 meses,Muy baja,Baja,Alta,1
Merle Kitman,1 mes,Baja,Alta,Muy baja,29
Gweneth Malcolmson,3 meses,Alta,Promedio,Promedio,51
Anthe Byrd,2 meses,Alta,Muy Alta,Muy Alta,14
Pietro Van der Merwe,1 mes,Muy Alta,Promedio,Baja,13
Pietro Bettinson,3 meses,Baja,Promedio,Alta,13
Chadwick Goodredge,2 meses,Baja,Muy baja,Baja,13
Delia Dilkes,2 meses,Baja,Baja,Baja,12
Nelie Haddrill,4 meses,Promedio,Muy Alta,Muy baja,42
Antoinette Bassil,1 mes,Baja,Alta,Muy baja,6
Katherina Eastes,3 meses,Muy baja,Muy baja,Baja,63
Marna Galpen,3 meses,Baja,Alta,Baja,11
Zoe Offill,4 meses,Baja,Muy Alta,Muy Alta,98
Bridget Grigolashvill,3 meses,Muy Alta,Baja,Muy baja,48
Baxy Killimister,3 meses,Muy Alta,Alta,Muy Alta,100
Jamima Algie,3 meses,Baja,Muy Alta,Alta,50
Rupert Poyser,4 meses,Muy Alta,Promedio,Alta,45
Wyatt Sebring,3 meses,Muy baja,Muy Alta,Promedio,5
Jolene Gonsalvo,4 meses,Promedio,Alta,Muy Alta,25
Meagan Spurling,1 mes,Muy Alta,Muy Alta,Muy Alta,78
Cinda Cisco,3 meses,Muy baja,Promedio,Muy Alta,64
Whitney Nelane,3 meses,Muy baja,Baja,Promedio,38
Arlinda Pester,2 meses,Baja,Promedio,Promedio,70
Annis Kirk,3 meses,Muy baja,Muy Alta,Baja,4
Karim Piccop,3 meses,Baja,Baja,Muy baja,33
Ag Slisby,3 meses,Baja,Promedio,Alta,56
Nevile Durkin,4 meses,Muy baja,Alta,Baja,60
Augy Bartelli,4 meses,Baja,Baja,Muy Alta,100
Harley Tregian,2 meses,Muy baja,Baja,Baja,56
Reinold Harley,3 meses,Alta,Muy baja,Muy Alta,14
Lyndell Oleksinski,3 meses,Muy baja,Alta,Alta,77
Carmine Hinksen,4 meses,Promedio,Baja,Alta,97
Phylys Domino,2 meses,Promedio,Promedio,Muy baja,83
Laina Saffrin,4 meses,Baja,Baja,Promedio,9
Ellary Le Fleming,2 meses,Muy baja,Muy baja,Promedio,54
Minnaminnie Dyer,1 mes,Baja,Muy baja,Alta,41
Pia O'Hartigan,3 meses,Alta,Muy baja,Baja,70
Janean Bascomb,4 meses,Baja,Muy Alta,Promedio,77
Jayne Wathey,2 meses,Promedio,Promedio,Muy Alta,70
Abel Hars,3 meses,Muy Alta,Muy baja,Muy Alta,2
Stesha Matchell,4 meses,Muy Alta,Muy Alta,Muy Alta,55
Ardith Dunaway,1 mes,Alta,Muy baja,Muy baja,54
Eddi Fearnehough,1 mes,Alta,Baja,Alta,48
Kristo Stonebanks,2 meses,Alta,Promedio,Baja,26
Krishnah Matuszyk,4 meses,Promedio,Muy baja,Baja,73
Gaby Meeny,2 meses,Muy baja,Muy baja,Muy Alta,13
Mamie Wallach,2 meses,Muy baja,Muy baja,Promedio,44
Catherina Gumby,3 meses,Baja,Muy baja,Baja,11
Silvanus D'Ambrogio,1 mes,Alta,Muy baja,Muy baja,91
Mireielle Swaby,2 meses,Muy Alta,Muy baja,Muy Alta,24
Ingra Chamberlain,4 meses,Baja,Baja,Promedio,40
Yvette Kernocke,1 mes,Muy Alta,Baja,Promedio,84
Bond Torr,4 meses,Muy baja,Muy Alta,Muy Alta,1
Tull Stickles,4 meses,Muy Alta,Alta,Muy baja,14
Antone Sammut,2 meses,Alta,Muy Alta,Muy baja,50
Madlin Whistance,1 mes,Muy baja,Muy baja,Baja,78
Land Hallock,2 meses,Promedio,Alta,Muy Alta,59
Lilly Rymer,3 meses,Promedio,Muy baja,Promedio,64
Abbi Steeden,1 mes,Muy baja,Alta,Promedio,3
Terrye Mullord,3 meses,Muy baja,Muy baja,Muy baja,45
Prissie Rathbone,2 meses,Baja,Baja,Baja,32
Janenna Plumm,1 mes,Promedio,Promedio,Alta,78
Martie Rama,4 meses,Alta,Muy baja,Muy Alta,75
Jody Curreen,2 meses,Muy baja,Baja,Baja,53
Ivy Pinke,1 mes,Promedio,Muy baja,Alta,54
Mara Wardley,1 mes,Muy Alta,Muy baja,Promedio,32
Annadiane Conisbee,3 meses,Muy Alta,Muy baja,Baja,69
Durward Tumbelty,4 meses,Promedio,Muy baja,Alta,17
Grady Defau,1 mes,Promedio,Muy baja,Promedio,61
Cos Stein,4 meses,Alta,Muy Alta,Muy baja,75
Marta Grenshields,3 meses,Muy baja,Promedio,Alta,22
Alasteir Maddinon,4 meses,Baja,Alta,Baja,64
Clarette Dary,4 meses,Muy Alta,Baja,Promedio,62
Umberto Krysztowczyk,4 meses,Alta,Baja,Muy baja,38
Janenna Girault,4 meses,Muy Alta,Baja,Alta,48
Niels Gillanders,3 meses,Muy baja,Alta,Muy baja,99
Susan Dilloway,1 mes,Baja,Muy baja,Alta,62
Edythe Pimblotte,4 meses,Promedio,Muy Alta,Muy baja,71
Glynda Shawcroft,3 meses,Baja,Muy Alta,Baja,88
Irvine Gilchrest,3 meses,Baja,Promedio,Baja,34
Althea Tomik,2 meses,Alta,Promedio,Muy baja,39
Carlee Will,4 meses,Alta,Muy Alta,Promedio,67
Ailbert Collacombe,3 meses,Promedio,Muy Alta,Promedio,26
Maximilian Chieco,1 mes,Muy baja,Baja,Muy baja,84
Caldwell Batchelour,2 meses,Alta,Alta,Alta,9
Kissee McAlarney,1 mes,Muy Alta,Promedio,Baja,13
Sayre Pinyon,3 meses,Baja,Muy Alta,Alta,43
Agretha Kienzle,2 meses,Baja,Alta,Muy baja,28
Philippa McInteer,3 meses,Muy Alta,Muy baja,Alta,84
Halli Darke,4 meses,Muy baja,Promedio,Promedio,97
Kariotta Bows,3 meses,Promedio,Promedio,Promedio,32
Cathleen Mossom,4 meses,Muy baja,Alta,Muy baja,23
Kessiah Selburn,3 meses,Muy Alta,Baja,Baja,6
Aryn Heaysman,4 meses,Promedio,Muy Alta,Baja,32
Ive Jouannisson,2 meses,Muy baja,Baja,Alta,11
Billy Calender,2 meses,Alta,Alta,Muy Alta,86
Orelia Trenouth,1 mes,Muy Alta,Muy baja,Baja,31
Delmer Glassman,1 mes,Muy baja,Baja,Promedio,28
Angelica Pocklington,1 mes,Muy baja,Muy baja,Promedio,34
Agnese Cush,1 mes,Baja,Muy baja,Promedio,42
Zorah Liddon,2 meses,Promedio,Promedio,Muy Alta,39
Bab Parminter,2 meses,Alta,Muy baja,Muy Alta,91
Dallis Ithell,2 meses,Muy Alta,Muy Alta,Alta,50
Edna Bartlam,1 mes,Muy baja,Alta,Baja,91
Salim Reiach,1 mes,Muy Alta,Muy baja,Baja,73
Dimitry Nitti,1 mes,Baja,Alta,Muy baja,24
Blinnie Jacmar,4 meses,Baja,Baja,Muy baja,24
Jason Iacopetti,1 mes,Muy Alta,Alta,Muy Alta,20
Beth Dispencer,1 mes,Muy Alta,Promedio,Baja,24
Carol-jean Giacubbo,2 meses,Baja,Promedio,Promedio,1
Perceval Kleynen,4 meses,Alta,Alta,Alta,36
Luigi Lamerton,4 meses,Muy Alta,Muy Alta,Alta,66
Xymenes Pesik,4 meses,Promedio,Muy baja,Muy baja,30
Josefa Thurgood,2 meses,Muy baja,Alta,Promedio,32
Gayle Escreet,2 meses,Muy baja,Baja,Baja,2
Rebeca Lerner,3 meses,Alta,Baja,Alta,99
Dinah Filchakov,4 meses,Baja,Baja,Alta,84
Chiquia Thelwll,2 meses,Muy Alta,Alta,Muy baja,61
Brandea Wise,4 meses,Muy baja,Baja,Baja,68
Zsazsa Bonin,4 meses,Promedio,Muy Alta,Muy Alta,66
Nevins Badrick,2 meses,Promedio,Muy Alta,Muy Alta,27
Kathlin Dunbabin,3 meses,Muy baja,Baja,Muy baja,47
Karon Burgot,2 meses,Promedio,Promedio,Baja,71
Jeanie Corr,3 meses,Muy baja,Promedio,Promedio,38
Sophie Peteri,2 meses,Muy baja,Alta,Alta,13
Crosby Jankovsky,3 meses,Baja,Baja,Muy baja,51
Otha Filippazzo,1 mes,Promedio,Muy Alta,Promedio,42
Westley Venditto,3 meses,Muy baja,Alta,Promedio,38
Julianne Woolsey,1 mes,Baja,Promedio,Baja,63
Valery Croxley,1 mes,Alta,Muy baja,Muy baja,97
Nadiya Cleynaert,3 meses,Baja,Baja,Muy Alta,34
Norman Gethouse,2 meses,Promedio,Alta,Alta,31
Charil Mattheis,2 meses,Muy baja,Alta,Promedio,63
Charita Blancowe,2 meses,Alta,Muy baja,Promedio,89
Maddalena Woolway,2 meses,Muy baja,Muy Alta,Alta,43
Carey Dopson,1 mes,Baja,Muy baja,Muy baja,1
Dilly Baldung,2 meses,Muy Alta,Baja,Muy Alta,19
Gibb Richardes,2 meses,Muy baja,Muy Alta,Baja,67
Caron Licquorish,4 meses,Muy baja,Muy baja,Alta,64
Cullie Rettie,1 mes,Muy Alta,Alta,Baja,31
Millie Duckering,2 meses,Baja,Promedio,Promedio,47
Sidnee Bellchamber,3 meses,Muy baja,Muy Alta,Alta,27
Daisey Rowbottam,4 meses,Alta,Muy Alta,Alta,13
Erastus Huniwall,2 meses,Alta,Muy Alta,Promedio,38
Hedwig Mallaby,4 meses,Baja,Muy Alta,Promedio,44
Broddie Hamflett,1 mes,Muy Alta,Promedio,Muy Alta,65
Orsa Ditts,3 meses,Promedio,Alta,Alta,82
Donavon Smorthit,3 meses,Muy baja,Baja,Baja,32
Errol Faich,4 meses,Muy Alta,Baja,Baja,61
Cletis Pain,2 meses,Alta,Alta,Alta,25
Ban Louche,1 mes,Promedio,Baja,Alta,68
Gusella Conlon,4 meses,Muy baja,Alta,Muy baja,8
Jillana Root,2 meses,Alta,Promedio,Baja,84
Dunn Algar,3 meses,Muy baja,Promedio,Alta,79
Deana Boadby,1 mes,Muy Alta,Muy Alta,Alta,41
Cordie Luetchford,4 meses,Muy Alta,Promedio,Baja,28
Abigale Whitmarsh,4 meses,Muy Alta,Muy Alta,Promedio,85
Moshe Demare,1 mes,Muy baja,Baja,Promedio,99
Uri Cropp,3 meses,Muy baja,Alta,Baja,54
Care Wheelwright,4 meses,Alta,Muy baja,Muy baja,15
Danie Basilotta,3 meses,Muy baja,Baja,Muy Alta,41
Briny McLoughlin,4 meses,Muy Alta,Muy Alta,Muy Alta,83
Letta Linsley,1 mes,Promedio,Baja,Muy baja,100
Tyrus Georgeot,3 meses,Muy Alta,Alta,Promedio,46
Rora Lauxmann,4 meses,Baja,Alta,Promedio,6
Christos Strangeway,4 meses,Muy baja,Muy baja,Muy Alta,76
Barde Jarley,2 meses,Muy baja,Baja,Promedio,36
Evvy Turville,3 meses,Baja,Promedio,Baja,59
Rancell Layzell,3 meses,Baja,Promedio,Muy Alta,72
Helli Minihan,4 meses,Alta,Alta,Alta,35
Laure Morant,2 meses,Muy Alta,Alta,Baja,90
Dollie Boxill,1 mes,Promedio,Muy Alta,Muy Alta,39
Sianna Shrigley,3 meses,Baja,Promedio,Promedio,69
Wang Fidelus,3 meses,Baja,Alta,Promedio,11
Milena Telega,1 mes,Muy Alta,Alta,Promedio,68
Sigismond Abercromby,2 meses,Promedio,Alta,Promedio,50
Annmaria Ritchman,2 meses,Baja,Muy baja,Promedio,43
D'arcy Fantone,1 mes,Alta,Muy Alta,Baja,63
Georgeanna Tripett,2 meses,Promedio,Promedio,Baja,8
Chico Pillinger,4 meses,Alta,Alta,Muy baja,52
Byron Jennick,3 meses,Baja,Baja,Promedio,82
Josephine Wagstaff,2 meses,Muy Alta,Muy baja,Promedio,20
Carilyn Weth,3 meses,Baja,Baja,Muy baja,94
Elora Stoggles,4 meses,Promedio,Muy baja,Baja,61
Jodee Jiras,4 meses,Alta,Alta,Muy Alta,11
Shannen Fairburne,3 meses,Promedio,Muy Alta,Muy Alta,82
Maxy McLauchlin,1 mes,Muy baja,Muy baja,Muy baja,37
Pail Walding,3 meses,Alta,Promedio,Baja,81
Fulvia Curner,3 meses,Muy Alta,Baja,Muy baja,66
Bjorn Arnaudon,3 meses,Baja,Promedio,Alta,16
Moore Chenery,3 meses,Baja,Muy Alta,Baja,91
Rozanna Wynne,3 meses,Alta,Alta,Alta,95
Peri Wiggans,1 mes,Muy baja,Promedio,Baja,28
Lilah Shakelady,4 meses,Promedio,Muy baja,Alta,32
Arri Huntington,4 meses,Muy baja,Muy Alta,Muy Alta,92
Gwennie Presho,4 meses,Promedio,Baja,Baja,40
Kellina Daniel,4 meses,Baja,Alta,Baja,18
Grantley Deaves,3 meses,Baja,Alta,Promedio,16
Lula Raiker,4 meses,Baja,Baja,Promedio,55
Leonore Slaymaker,3 meses,Muy Alta,Promedio,Alta,46
Rosana Brezlaw,2 meses,Muy baja,Promedio,Alta,9
Janaye Munehay,3 meses,Promedio,Alta,Promedio,9
Libbi Rawlison,4 meses,Muy Alta,Muy Alta,Promedio,8
Tatiana Bouldstridge,4 meses,Muy baja,Promedio,Muy Alta,13
Ram Notley,3 meses,Muy Alta,Promedio,Alta,66
Lydie Pablos,1 mes,Baja,Muy Alta,Muy Alta,91
Reagan Deppen,4 meses,Alta,Baja,Baja,69
Morry Starbuck,1 mes,Muy Alta,Alta,Muy Alta,48
Trude Barenski,3 meses,Muy baja,Muy Alta,Alta,89
West Gergolet,1 mes,Alta,Alta,Muy baja,81
Hart Beesey,3 meses,Alta,Promedio,Alta,74
Margarita Schulken,4 meses,Baja,Baja,Muy Alta,36
Loralyn McVey,4 meses,Baja,Promedio,Muy Alta,58
Layney Jahnel,4 meses,Alta,Muy baja,Promedio,55
Don Pietraszek,2 meses,Alta,Muy baja,Muy baja,68
Wolfie Mustoo,4 meses,Baja,Baja,Promedio,39
Nevins Callendar,4 meses,Baja,Promedio,Muy baja,83
Alexa Sykora,4 meses,Muy baja,Muy baja,Alta,2
Berget Hardson,2 meses,Baja,Baja,Promedio,24
Lissa Gabbotts,2 meses,Baja,Promedio,Alta,35
Catherine Hyndley,4 meses,Alta,Alta,Alta,58
Remy Baylay,4 meses,Baja,Baja,Muy Alta,14
Etienne Ridewood,1 mes,Muy Alta,Alta,Muy baja,24
Westleigh Averies,2 meses,Muy baja,Muy baja,Muy Alta,38
Orella Checcucci,3 meses,Baja,Promedio,Muy Alta,34
Nerti Slorach,2 meses,Muy Alta,Muy baja,Promedio,8
Nananne Baleine,3 meses,Alta,Muy baja,Promedio,58
Florry Carette,3 meses,Muy baja,Alta,Muy Alta,45
Roderic Wannes,4 meses,Muy baja,Alta,Muy baja,39
Elset Stansell,3 meses,Muy Alta,Promedio,Baja,85
Baryram Dobell,1 mes,Muy baja,Promedio,Baja,50
Jeffy Gimenez,1 mes,Alta,Muy Alta,Muy baja,64
Janna Sutherden,4 meses,Muy baja,Muy baja,Muy baja,38
Vina Methingam,2 meses,Baja,Baja,Baja,44
Catha McNamee,4 meses,Muy baja,Promedio,Promedio,60
Bary Morrell,1 mes,Promedio,Muy baja,Muy Alta,92
Cynthy Daniele,3 meses,Baja,Promedio,Baja,59
Mignonne Lassetter,2 meses,Promedio,Muy baja,Baja,70
Klement Reames,1 mes,Baja,Alta,Promedio,37
Cornelius Stanlock,1 mes,Muy baja,Baja,Baja,23
Viv De Maine,1 mes,Muy baja,Promedio,Muy baja,47
Rockie Ruprich,2 meses,Muy Alta,Promedio,Baja,14
Roger Bromilow,3 meses,Baja,Baja,Muy baja,99
Jeana Gammett,1 mes,Muy baja,Promedio,Muy Alta,48
Tracy Lavarack,4 meses,Baja,Promedio,Baja,19
Annalee Bleiman,4 meses,Promedio,Muy Alta,Baja,27
Audry Calverd,1 mes,Alta,Alta,Alta,55
Nappy Willan,4 meses,Alta,Alta,Baja,85
Loralyn Boase,4 meses,Alta,Alta,Promedio,82
Broderick Stearne,1 mes,Promedio,Muy baja,Baja,75
Carlin Radke,4 meses,Promedio,Alta,Baja,27
Edsel Brister,2 meses,Muy Alta,Baja,Baja,42
Moria Plummer,1 mes,Muy baja,Baja,Alta,94
Leighton Bello,1 mes,Baja,Promedio,Promedio,84
Clarita Rangall,2 meses,Promedio,Muy baja,Promedio,44
Bernard Sydenham,1 mes,Alta,Promedio,Baja,19
Ninetta Halesworth,4 meses,Muy Alta,Muy Alta,Alta,75
Arabella Joderli,1 mes,Alta,Muy baja,Alta,74
Chandra De Caroli,2 meses,Muy Alta,Muy baja,Alta,74
Charley Astles,4 meses,Alta,Baja,Muy Alta,14
Levy Edmons,3 meses,Muy baja,Baja,Promedio,12
Lind Crabb,2 meses,Muy Alta,Muy Alta,Baja,31
Lulu Colquit,2 meses,Muy Alta,Muy baja,Promedio,99
Decca Bradshaw,1 mes,Muy baja,Muy baja,Promedio,19
Eloise Elmhurst,3 meses,Muy Alta,Alta,Muy Alta,26
Terrijo Spiteri,1 mes,Baja,Muy baja,Muy Alta,95
Aili Oakden,2 meses,Promedio,Muy Alta,Promedio,61
Vallie Mabone,4 meses,Promedio,Baja,Baja,96
Fidelio Frammingham,1 mes,Alta,Baja,Alta,4
Golda Walkingshaw,4 meses,Alta,Alta,Muy baja,88
Morissa Diprose,2 meses,Muy Alta,Promedio,Muy Alta,52
Wake Geffcock,4 meses,Baja,Baja,Promedio,43
Maxy Ezzle,3 meses,Baja,Alta,Muy baja,88
Madelin Spark,4 meses,Muy Alta,Muy Alta,Muy baja,51
Rosa Duns,1 mes,Baja,Promedio,Promedio,42
Waylon Sutehall,3 meses,Baja,Promedio,Muy baja,46
Alexandro MacAllan,2 meses,Alta,Promedio,Muy baja,52
Hughie Podd,4 meses,Muy Alta,Baja,Baja,16
Jenelle Peret,2 meses,Promedio,Promedio,Promedio,59
Krista Bangs,4 meses,Muy baja,Promedio,Muy baja,46
Nadine Alecock,2 meses,Alta,Promedio,Muy baja,2
Kissee Rosenfarb,4 meses,Promedio,Muy baja,Alta,63
Marc O'Hannay,3 meses,Baja,Promedio,Muy baja,23
Korney Tomblings,4 meses,Alta,Promedio,Promedio,76
Harvey Halwill,3 meses,Alta,Muy baja,Muy baja,68
Archaimbaud Saggs,1 mes,Muy Alta,Muy baja,Muy Alta,28
Ema Bartolozzi,4 meses,Alta,Muy baja,Alta,68
Mandi Rubinlicht,2 meses,Promedio,Promedio,Baja,43
Ritchie Wreford,2 meses,Promedio,Baja,Muy Alta,26
Eartha Ovington,3 meses,Baja,Muy Alta,Baja,99
Steven Farrans,2 meses,Promedio,Promedio,Alta,61
Malina Dows,4 meses,Muy Alta,Promedio,Baja,60
Case Gladman,4 meses,Promedio,Alta,Baja,39
Piper Pettus,1 mes,Promedio,Muy baja,Baja,18
Roxanna Pelfer,1 mes,Muy Alta,Alta,Baja,52
Dorena Ellwell,3 meses,Muy Alta,Baja,Baja,60
Crystie Gott,4 meses,Muy Alta,Muy Alta,Alta,71
Lanna Greystoke,1 mes,Baja,Baja,Muy baja,80
Margalo Laetham,4 meses,Muy Alta,Alta,Muy Alta,27
Charmain Elves,1 mes,Muy baja,Muy Alta,Baja,71
Sergio Casolla,4 meses,Muy baja,Alta,Baja,11
Latrina Baillie,3 meses,Promedio,Muy baja,Promedio,99
Boothe Bretland,4 meses,Promedio,Promedio,Muy baja,65
Herb Skin,3 meses,Baja,Baja,Muy Alta,33
Kin Pettipher,2 meses,Alta,Alta,Promedio,82
Louis Tallant,1 mes,Muy Alta,Muy Alta,Alta,43
Ainslee Fairbourn,2 meses,Muy Alta,Alta,Promedio,2
Shem Kealy,2 meses,Muy Alta,Muy baja,Promedio,3
Sutton McTiernan,2 meses,Baja,Muy Alta,Baja,53
Pablo Voules,1 mes,Promedio,Muy Alta,Muy Alta,5
Zackariah Hacking,2 meses,Muy Alta,Muy baja,Alta,30
Giralda Chrismas,2 meses,Promedio,Muy baja,Promedio,25
Aeriel Labbati,4 meses,Baja,Promedio,Muy baja,44
Ariella Brosi,4 meses,Baja,Alta,Baja,86
Alejandra Pischel,3 meses,Alta,Baja,Promedio,69
Rochell Domm,1 mes,Muy baja,Muy Alta,Promedio,97
Pete McCready,4 meses,Baja,Baja,Alta,90
Garry Pancoast,1 mes,Muy Alta,Muy Alta,Alta,55
Ravid Priestland,1 mes,Baja,Muy baja,Alta,62
Cymbre Stollen,1 mes,Promedio,Muy Alta,Alta,74
Viv Hulle,1 mes,Baja,Baja,Muy baja,99
Chandra Friatt,4 meses,Muy Alta,Muy baja,Muy baja,33
Dody Hudghton,4 meses,Alta,Baja,Alta,6
Nessy Galliard,2 meses,Muy Alta,Alta,Muy baja,82
Fernandina Winnett,2 meses,Muy Alta,Baja,Baja,81
Stella Branston,3 meses,Baja,Promedio,Promedio,23
Mildred Canadas,1 mes,Alta,Muy Alta,Muy baja,45
Calvin Juzek,2 meses,Alta,Muy baja,Muy baja,91
Natividad Brasher,3 meses,Promedio,Muy Alta,Alta,71
Blancha Gudge,4 meses,Promedio,Promedio,Alta,85
Chere Cattlow,4 meses,Muy baja,Baja,Promedio,17
Dud Rawlison,1 mes,Alta,Muy baja,Muy Alta,50
Madeline Hedge,4 meses,Muy Alta,Baja,Baja,82
Gertrud Ham,3 meses,Muy Alta,Alta,Muy Alta,32
Kev Jerschke,2 meses,Promedio,Muy Alta,Muy Alta,88
Susanne Mothersole,4 meses,Alta,Baja,Muy baja,85
Boniface O'Dennehy,2 meses,Alta,Muy Alta,Muy Alta,67
Berkly Dutch,4 meses,Alta,Baja,Muy Alta,6
Christean Standbrooke,3 meses,Baja,Baja,Muy baja,28
Larissa Lamyman,4 meses,Alta,Baja,Baja,11
Tabbatha Gorry,2 meses,Muy Alta,Alta,Muy Alta,25
